Name,ConflictStatus,Story Count,Description,Notes,Publishable,InternalNotes,Stories,Ethics Doc Lines,Eric,Melania,Junior
Global Gateway Alliance,Resolved,0,,,Approved,,,1028,,,
CPW PT Partners,Active,0,,,Approved,,,37,,,
Think Big And Kick Ass,Active,0,,,Approved,,,271,,,
DT Marks Dubai,Active,4,,,Approved,,"https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html","95,94,912,913",,,
Delaware Funds,Active,0,,,Approved,,,"867,869,866,868",,,
Nuveen Enhanced Amt-Free Municipal CredIT Opportunities Fund,Unclear,0,,,to correct,,,,,,
MNC Group,Unclear,3,"The Trump Organization’s partner in a lavish Indonesian development project boasting a six-star hotel and golf course with President Trump’s name has brought on a new ally: a Chinese state-owned company. The Indonesian partner, the MNC Group, said it had struck a deal with an arm of Metallurgical Corporation of China, a state-owned construction company, to build a theme park next door to the planned Trump properties.",,Approved,"NOTE: this isn't connected to a biz entity but it IS connected to a story so I need to correct the story link first, then delete this record. ","https://mobile.reuters.com/article/amp/idUSKCN1J12RP,http://thehill.com/homenews/house/389571-more-than-60-dem-lawmakers-demand-ethics-investigation-into-trumps,https://www.washingtonpost.com/politics/trump-business-dealings-raises-serious-concerns-ethics-office-says/2018/06/22/b71de20a-7642-11e8-9780-b1dd6a09b549_story.html?utm_term=.6784ef6af365",,,,
Dogan Holding,Unclear,1,"The twinned Trump Towers bear the president-elect’s name in Istanbul. Dogan Holding, a massive media and real estate conglomerate in Turkey, owns the conjoined buildings and pays the Trump Organization to license the Trump name and brand. It can now rely on that name and brand to be sitting in the Oval Office and singing its praises to President Erdogan.",,Approved,"NOTE: this isn't connected to a biz entity but it IS connected to a story so I need to correct the story link first, then delete this record. ",http://www.huffingtonpost.com/entry/donald-trump-turkey-business_us_5836188ae4b01ba68ac41d9f?,,,,
Ownership Rights,Active,0,,,Approved,What is the best way to list this???,,"857,856",,,
"OAKWOOD CHICAGO HOLDING, LLC",Unclear,0,,,to correct,,,,,,
The Obsidian Fund,Resolved,0,,,to correct,,,,,,
DT App Warrant Holding,Active,0,,,Approved,,,"60,59,890",,,
K Gaia Village 1 Associates,Active,0,,,Approved,connected to record w/ no ID,,"1144,659,666,698,707,708,718,725,751,1145,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,
How To Get Rich,Active,0,,,Approved,,,152,,,
Trump Drinks Israel,Active,1,,,Approved,,https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,"334,335,337,336",,,
