URL of Story,Headline,Media Outlet,Publication Date,Conflicts,Entered by,Pub Status,Internal Notes,Notes,Created,Internal Review,Conflict Review (HN)
https://www.npr.org/2018/10/04/654587755/new-york-ag-presses-forward-with-suit-against-trumps-charitable-foundation,New York AG Presses Forward With Suit Against Trump's Charitable Foundation,NPR,2018-10-04,Donald J. Trump Foundation,Heidi Johnson,Approved,,,,,
https://www.washingtonpost.com/national/new-york-ag-fires-another-salvo-at-trump-foundation/2018/10/04/43caf280-c835-11e8-9c0f-2ffaf6d422aa_story.html?utm_term=.7831bc6a8c80,New York AG fires another salvo at Trump Foundation,Washington Post,2018-10-05,Donald J. Trump Foundation,Heidi Johnson,Approved,,,,,
https://www.cnbc.com/2018/09/28/judge-lets-democrats-in-congress-sue-trump-over-foreign-payments.html,Judge lets Democrats in Congress sue Trump over foreign payments,NBC,2018-09-28,"Old Post Office Hotel,The Trump Organization,U.S Department of Justice",Bob Goldstraw,Approved,,,,,
https://www.washingtonpost.com/business/trump-posts-losses-at-another-scottish-golf-resort/2018/10/08/ae80d67c-cb27-11e8-ad0a-0e01efba3cc1_story.html?utm_term=.a71fc271889a,Trump posts losses at another Scottish golf resort,Washington Post,2018-10-08,Trump Scotland (Aberdeen and Turnberry),Heidi Johnson,Approved,I added this because of the ethics experts' reference to Brexit negotiations.,,,,
https://www.washingtonpost.com/politics/at-trumps-big-city-hotels-business-dropped-as-his-political-star-rose-internal-documents-show/2018/10/03/bd26b1d6-b6d4-11e8-a7b5-adaaa5b2a57f_story.html?utm_term=.4535bbd9f336,"At Trump’s big-city hotels, business dropped as his political star rose, internal documents show",Washington Post,2018-10-04,The Trump Organization,Heidi Johnson,Approved,"I'm not sure if this works, but I entered it because of the comments of a turn-around increase in guests last year due to an influx of Saudi Arabian guests.  I've read about the increase in Saudi Arabian guests in the DC hotel as well.",,,,
https://www.nbcnews.com/think/opinion/donald-trump-s-tax-returns-could-be-his-greatest-vulnerability-ncna918386,"Donald Trump's tax returns could be his greatest vulnerability, especially if Democrats retake the House",NBC,2018-10-10,,Bob Goldstraw,Rejected,Reference is made to federal employees staying at Trump properties and government agencies renting spaces in Trump-owned buildings.,,,,
https://www.cnn.com/2018/10/12/politics/trump-saudi-business-ties/index.html,Saudi disappearance puts spotlight on Trump's business ties,CNN,2018-10-12,"Trump Tower Condominium,Old Post Office Hotel,Saudi Arabia and Emirati Real Estate and Hotel Deals,The Trump Organization",Bob Goldstraw,Approved,,,,,
https://www.nytimes.com/interactive/2018/10/02/us/politics/donald-trump-tax-schemes-fred-trump.html,Trump Engaged in Suspect Tax Schemes as He Reaped Riches From His Father,New York Times,2018-10-02,"Internal Revenue Service,The Trump Organization",Lynn Walsh,Approved,,,,,
https://www.apnews.com/815763f276fb454494639aad82be2112,Trump's Business Ties to Saudi Kingdom Run Long and Deep,Associated Press,2018-10-13,"Trump Tower Condominium,Trump Tower Commercial,Saudi Arabia and Emirati Real Estate and Hotel Deals,The Trump Organization,Trump Jeddah",Bob Goldstraw,Approved,,,,,
https://www.washingtonpost.com/politics/2018/10/16/whether-trump-has-financial-interests-saudi-arabia-he-has-plenty-with-country/?utm_term=.a571a3f0706e,"Whether Trump has financial interests *in* Saudi Arabia, he has plenty *with* the country",Washington Post,2018-10-16,"The Trump Organization,Trump Tower Condominium,Trump Tower Commercial,Trump Chicago,Old Post Office Hotel",Heidi Johnson,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.
10/16/2018 HJ: This article is a political analysis.  I'm not sure how close to opinion that makes it; judging by the title alone, it definitely has a ""tone."" LW: I think this has a lot of factual information and is worth including.",,,,
https://www.washingtonpost.com/politics/i-like-them-very-much-trump-has-long-standing-business-ties-with-saudis-who-have-boosted-his-hotels-since-he-took-office/2018/10/11/0870df24-cd67-11e8-a360-85875bac0b1f_story.html?utm_term=.a03c219665a7,"‘I like them very much:’ Trump has long-standing business ties with Saudis, who have boosted his hotels since he took office",Washington Post,2018-10-11,"Trump Chicago,The Trump Organization,Old Post Office Hotel",Heidi Johnson,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.washingtonpost.com/f2120b3a-ced4-11e8-ad0a-0e01efba3cc1_story.html?utm_term=.17d7f35a1df8,Trump’s business ties to kingdom run long and deep,Washington Post,2018-10-13,"Trump Plaza,Trump Tower Commercial,Trump International Hotel And Tower Condominium",Heidi Johnson,Rejected,LW: This is the same AP store already added above,,,,
https://www.cnn.com/2018/10/16/politics/donald-trump-saudi-financial-interests/index.html,No financial interests in Saudi Arabia? Trump has said differently before,CNN,2018-10-16,"Trump Tower Condominium,Old Post Office Hotel,Trump Chicago,Trump Tower Commercial",Bob Goldstraw,Approved,"20190206 HN: Removed Trump Chicago Hotel Manager from conflict assignments. After some edits to the friendly names, related entities are now bundled into ""Trump Chicago,"" making the other friendly name moot.  Also, The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.cnn.com/2018/10/18/politics/trump-fbi-building/index.html,"Trump more involved in stopping FBI HQ move than previously known, emails show",CNN,2018-10-18,"Old Post Office Hotel,The Trump Organization,FBI",Bob Goldstraw,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.cnn.com/2018/10/19/politics/trump-saudi-arabia-khashoggi-democrats/index.html,Democrats seek answers over Trump 'personal enrichment' from Saudi government,CNN,2018-10-19,"Trump Tower Condominium,Old Post Office Hotel,Mar-A-Lago Club,The Trump Organization",Bob Goldstraw,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.nbcnews.com/think/opinion/how-trump-taking-fbi-possibly-violating-emoluments-clause-process-ncna925076,"How Trump is taking on the FBI, and possibly violating the Emoluments Clause in the process",NBC,2018-10-29,Old Post Office Hotel,Bob Goldstraw,Rejected,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.
OPINION",,,,
https://www.cnn.com/2018/10/25/politics/trump-foundation-lawsuit-wait/index.html,Judge waits to hear if sitting president can be sued before ruling on Trump Foundation,CNN,2018-10-26,Donald J. Trump Foundation,Bob Goldstraw,Approved,,,,,
https://www.washingtonpost.com/world/2018/10/18/why-is-trump-so-keen-protect-saudis/?utm_term=.a0943507f3f5,Why is Trump so keen to protect the Saudis?,Washington Post,2018-10-18,"The Trump Organization,Trump International Hotels Management D/B/A Trump Hotel Collection",Heidi Johnson,Approved,This is an analysis piece.,,,,
https://www.usnews.com/news/politics/articles/2018-10-21/democrats-eye-revival-of-russia-probe-if-they-win-house,Democrats eye revival of Russia probe if they win House,U.S. News and World Report,2018-10-21,The Trump Organization,Heidi Johnson,Approved,,,,,
https://www.npr.org/2018/10/18/658509261/trump-intervened-in-fbi-hq-project-to-protect-his-hotel-democrats-allege,"Trump Intervened In FBI HQ Project To Protect His Hotel, Democrats Allege",NPR,2018-10-18,"The Trump Organization,Old Post Office Hotel,FBI",Heidi Johnson,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.nbcnews.com/politics/white-house/democrats-demand-white-house-documents-fbi-headquarters-move-n930406,Democrats demand White House documents on FBI headquarters move,NBC,2018-11-02,"Old Post Office Hotel,FBI",Bob Goldstraw,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.cnn.com/2018/11/02/politics/donald-trump-emoluments-clause-dc-maryland/index.html,Federal judge allows discovery to move forward in Trump emoluments case,CNN,2018-11-02,"Old Post Office Hotel,U.S Department of Justice",Bob Goldstraw,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.mcclatchydc.com/latest-news/article221420605.html,Rich Russian who may have grossly overpaid for a Trump mansion is mired in a big scandal,McClatchy,2018-11-09,The Trump Organization,Bob Goldstraw,Approved,Specific property involved in this transaction isn't clear to me. LW: NEED TO FIND MORE SPECIFIC COMPANY,,,,
https://www.cnbc.com/2018/11/08/trumps-deutsche-bank-ties-just-one-of-several-issues-for-house-rep-waters-says.html,"Trump's Deutsche Bank ties just one of several issues for House, Rep. Waters says",NBC,2018-11-08,Deutsche Bank,Bob Goldstraw,Approved,,,,,
