description,familyMember,conflict,category,notes,dateChanged,mediaOutlet,link,sourceDate,headline
"Pres. Trump allegedly paid a former porn star to keep quiet about their affair in 2006. She is now suing Trump, claiming the non-disclosure agreement is invalid.",Donald Trump,"Stephanie Clifford (Aka Stormy Daniels)",Active, "",05/23/2018,"New York Post","https://nypost.com/2018/03/05/bank-reported-trump-lawyers-payment-to-stormy-daniels-as-suspicious/","03/05/2018","Bank reported Trump lawyer’s payment to Stormy Daniels as suspicious"
"Pres. Trump allegedly paid a former porn star to keep quiet about their affair in 2006. She is now suing Trump, claiming the non-disclosure agreement is invalid.",Donald Trump,"Stephanie Clifford (Aka Stormy Daniels)",Active, "",05/23/2018,"Vanity Fair","https://www.vanityfair.com/news/2018/03/stormy-daniels-donald-trump-lawsuit-michael-cohen","03/07/2018","Does Stormy Daniels Have “Images” of Donald Trump?"
"Pres. Trump allegedly paid a former porn star to keep quiet about their affair in 2006. She is now suing Trump, claiming the non-disclosure agreement is invalid.",Donald Trump,"Stephanie Clifford (Aka Stormy Daniels)",Active, "",05/23/2018,"CNN","https://www.cnn.com/2018/03/08/opinions/stormy-daniels-trump-lawsuit-could-be-trouble-rangappa-opinion/index.html","03/08/2018","Stormy Daniels suit could back Trump into a corner"
"",Donald Trump,"The Daily Mail",Active, "Because this lawsuit was settled, the potential conflict of interest is marked as &quot;resolved.&quot; Specific business holdings of Melania Trump remain marked as confirmed conflicts of interest.",05/23/2018,"New York Times","https://www.nytimes.com/2017/02/07/us/politics/melania-trump-libel-suit-daily-mail.html","02/07/2017","In Libel Suit, Melania Trump Cites Loss of Chance to Make Millions"
"",Donald Trump,"The Daily Mail",Active, "Because this lawsuit was settled, the potential conflict of interest is marked as &quot;resolved.&quot; Specific business holdings of Melania Trump remain marked as confirmed conflicts of interest.",05/23/2018,"New York Times","https://www.nytimes.com/2017/04/12/business/media/melania-trump-daily-mail-libel.html?rref=collection%2Ftimestopic%2FTrump%2C%20Melania&amp;action=click&amp;contentCollection=timestopics&amp;region=stream&amp;module=stream_unit&amp;version=latest&amp;contentPlacement=5&amp;pgtype=collection","04/12/2017","Melania Trump and Daily Mail Settle Her Libel Suits"
"",Donald Trump,"Trump Entrepreneur Initiative (Formerly Trump University Ca)",Active, "",05/23/2018,"Washington Post","https://www.washingtonpost.com/politics/source-trump-nearing-settlement-in-trump-university-fraud-cases/2016/11/18/8dc047c0-ada0-11e6-a31b-4b6397e625d0_story.html","11/18/2016","Trump agrees to $25 million settlement in Trump University fraud cases"
"",Donald Trump,"Trump Hotel Rio De Janeiro",Active, "",05/23/2018,"New York Times","https://www.nytimes.com/2016/12/14/world/americas/donald-trump-hotel-rio-brazil-investigation.html","12/14/2016","Trump Firm Quits Brazil Hotel Project That Was Named in Criminal Inquiry"
"",Donald Trump,"Trump Hotel Rio De Janeiro",Active, "",05/23/2018,"Washington Post","https://www.washingtonpost.com/world/the_americas/trump-company-pulls-its-name-off-a-brazil-hotel-caught-up-in-an-investigation/2016/12/13/c332dc2c-b078-4885-8a29-5f29b7da442e_story.html?utm_term=.3f329b9e8342","12/13/2016","Trump company pulls its name off a Brazil hotel caught up in an investigation"
"",Donald Trump,"Trump Hotel Rio De Janeiro",Active, "",05/23/2018,"New York Times","https://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html?_r=1","11/26/2016","Potential Conflicts Around the Globe for Trump, the Businessman President"
"Ethics experts say their fear has been realized as Trump faces one of his most consequential conflicts of interest yet: The Panamanian government has pledged to investigate the Trump Organization for resisting eviction from the Trump International Hotel and Tower. That dispute arose after the hotels majority owner cancelled the Trump Organizations management contract for the hotel.",Donald Trump,"Trump International Hotel And Tower (Panama)",Active, "",05/23/2018,"Associated Press","https://www.apnews.com/ce4dbdd4446c4862bb9c483425554c67/Trump-officials-fight-eviction-from-Panama-hotel-they-manage","02/24/2018","Trump officials fight eviction from Panama hotel they manage"
"Ethics experts say their fear has been realized as Trump faces one of his most consequential conflicts of interest yet: The Panamanian government has pledged to investigate the Trump Organization for resisting eviction from the Trump International Hotel and Tower. That dispute arose after the hotels majority owner cancelled the Trump Organizations management contract for the hotel.",Donald Trump,"Trump International Hotel And Tower (Panama)",Active, "",05/23/2018,"Business Insider","http://www.businessinsider.com/trump-organization-panama-hotel-conflict-2018-3","03/03/2018","Ethics experts say their fear has been realized as Trump faces one of his most consequential conflicts of interest yet"
"Ethics experts say their fear has been realized as Trump faces one of his most consequential conflicts of interest yet: The Panamanian government has pledged to investigate the Trump Organization for resisting eviction from the Trump International Hotel and Tower. That dispute arose after the hotels majority owner cancelled the Trump Organizations management contract for the hotel.",Donald Trump,"Trump International Hotel And Tower (Panama)",Active, "",05/23/2018,"Washington Post","https://www.washingtonpost.com/business/trumps-panama-city-hotel-remains-open-despite-problems/2018/03/05/3c4186c6-208a-11e8-946c-9420060cb7bd_story.html?utm_term=.78902429afe0","03/05/2018",""
"",Donald Trump,"Trump Mortgage",Active, "",05/23/2018,"Washington Post","https://www.washingtonpost.com/politics/trump-mortgage-failed-heres-what-that-says-about-the-gop-front-runner/2016/02/28/f8701880-d00f-11e5-88cd-753e80cd29ad_story.html?utm_term=.246ad0d15e54","02/29/2016","Trump Mortgage failed. Here’s what that says about the GOP front-runner."
"",Donald Trump,"Trump Mortgage",Active, "",05/23/2018,"CNN","http://money.cnn.com/2016/03/14/pf/trump-mortgage/index.html","03/14/2016","Trump Mortgage...in 2 minutes"
"",Donald Trump,"Trump Organization LLC D/B/A The Trump Organization",Active, "",05/23/2018,"Newsweek","http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html","09/23/2016","How the Trump Organization's Foreign Business Ties Could Upend U.S. National Security"
"",Donald Trump,"Trump Organization LLC D/B/A The Trump Organization",Active, "",05/23/2018,"Washington Post","https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html?utm_term=.58393114f26e","06/17/2016","Inside Trump’s financial ties to Russia and his unusual flattery of Vladimir Putin"
"",Donald Trump,"Trump Towers Istanbul",Active, "",05/23/2018,"Washington Post","https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html","11/20/2016","A scramble to assess the dangers of President-elect Donald Trump’s global business empire"
