Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
"Former trustee of Fred C. Trump, GRAT Trust- F/B/O Elizabeth Trump Grau. The trust's current activity status and control structures are not reported. ",Donald Trump,"Fred C. Trump, GRAT Trust- F/B/O Elizabeth Trump Grau",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Trump Old Post Office LLC leases the historic Old Post Office Pavilion from the federal Government Services Administration. The lease reportedly stipulates that “No ... elected official of the Government of the United States ... shall be admitted to any share or part of this Lease, or to any benefit that may arise therefrom...” However, Pres. Trump retains an ownership interest. (See also Trump Old Post Office LLC.)",Donald Trump,General Services Administration,General Services Administration,5-Jun-13,Government Executive,28-Nov-16,,,active,,5-Jul-17
"Former member/president of Golf Productions LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal. ",Donald Trump,Golf Productions LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/director/chairman of Golf Productions Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,Golf Productions Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director of Golf Recreation Scotland Limited, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,Golf Recreation Scotland Limited,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of the now-dormant or inactive Helicopter Air Services, Inc., of which Pres. Trump retains an ownership interest.",Donald Trump,"Helicopter Air Services, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/vice-president of the now-dormant or inactive Highlander Hall, Inc., in which Pres. Trump retains an ownership interest. The company's current activity status and ownership structure are not articulated. ",Donald Trump,"Highlander Hall, Inc.",Office of Government Ethics,14-Jun-17,,,,,potential,,5-Jul-17
"Has held an investment in United Technologies Corp. bonds. United Technologies Corp. is the parent company of Carrier Corp. and UTEC, which make heating and air conditioning products. The asset was listed in Trump's 2016 financial disclosure, but not in his disclosure from 2017.",Donald Trump,Holds United Technologies Corp,Indy Star,Office of Government Ethics,14-Jun-17,19-May-16,Wall Street Journal,2-Dec-16,potential,,5-Jul-17
"Former partner in Hudson Waterfront Associates I, L.P., in which Pres. Trump retains an ownership interest. His resignation from this company was noted in a 19-page resignation letter the day before his inauguration in January 2017. The former position was not listed on his 2017 financial disclosure, but its ownership structure was articulated. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,"Hudson Waterfront Associates I, LP",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former partner in Hudson Waterfront Associates II, L.P., in which Pres. Trump retains an ownership interest. His resignation from this company was noted in a 19-page resignation letter the day before his inauguration in January 2017. The former position was not listed on his 2017 financial disclosure, but its ownership structure was articulated. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal. ",Donald Trump,"Hudson Waterfront Associates II, LP",Office of Government Ethics,14-Jun-17,CNN,23-Jan-17,,,active,,5-Jul-17
"Former partner in Hudson Waterfront Associates III, L.P., in which Pres. Trump retains an ownership interest. His resignation from this company was noted in a 19-page resignation letter the day before his inauguration in January 2017. The former position was not listed on his 2017 financial disclosure, but its ownership structure was articulated. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,"Hudson Waterfront Associates III, LP",Office of Government Ethics,14-Jun-17,CNN,23-Jan-17,,,active,,5-Jul-17
"Former partner in Hudson Waterfront Associates IV, L.P., in which Pres. Trump retains an ownership interest. His resignation from this company was noted in a 19-page resignation letter the day before his inauguration in January 2017. The former position was not listed on his 2017 financial disclosure, but its ownership structure was articulated. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,"Hudson Waterfront Associates IV, LP",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former partner in Hudson Waterfront Associates V, L.P., in which Pres. Trump retains an ownership interest. His resignation from this company was noted in a 19-page resignation letter the day before his inauguration in January 2017. The former position was not listed on his 2017 financial disclosure, but its ownership structure was articulated. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,"Hudson Waterfront Associates V, LP",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former partner in Hudson Waterfront Associates, L.P., in which Pres. Trump retains an ownership interest. His resignation from this company was noted in a 19-page resignation letter the day before his inauguration in January 2017. The former position was not listed on his 2017 financial disclosure. Neither was its current ownership structure articulated, though it was reported as dormant or inactive in his 2016 financial disclosure. ",Donald Trump,"Hudson Waterfront Associates, LP.",Office of Government Ethics,14-Jun-17,CNN,23-Jan-17,,,active,,5-Jul-17
"Pres. Trump retains an ownership interest in HWA 1290 Ill LLC. Any current or former position he may have held with the company has not been disclosed. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,HWA 1290 Ill LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump retains an ownership interest in HWA 1290 IV LLC. Any current or former position he may have held with the company has not been disclosed. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,HWA 1290 IV LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump retains an ownership interest in HWA 1290 V LLC. Any current or former position he may have held with the company has not been disclosed. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,HWA 1290 V LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump retains an ownership interest in HWA 555 Owners, LLC. Any current or former position he may have held with the company has not been disclosed. ",Donald Trump,"HWA 555 Owners, LLC",Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
"Former member/president of Identity Theft Productions LLC (resigned May 1, 2014). The company's current activity status and ownership structure has not been reported. ",Donald Trump,Identity Theft Productions LLC,Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
"Former president/director of Identity Theft Productions Member Corp. (resigned May 1, 2014). The company's current activity status and ownership structure has not been reported. ",Donald Trump,Identity Theft Productions Member Corp.,Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
"Former member/president of the now-dormant or inactive Indian Hills Holdings LLC (F/K/A Indian Hills Development LLC), in which Pres. Trump retains an ownership interest.",Donald Trump,Indian Hills Holdings LLC (F/K/A Indian Hills Development LLC),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Trump currently under audit by IRS,Donald Trump,Internal Revenue Service,Newsweek,10-Aug-16,,,,,active,,5-Jul-17
"Former president of Jupiter Golf Club LLC (Trump National Golf Club - Jupiter), in which Pres. Trump retains an ownership interest.",Donald Trump,Jupiter Golf Club LLC (Trump National Golf Club - Jupiter),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/director/chairman of Jupiter Golf Club Managing Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Jupiter Golf Club Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Ladder Capital, which owns at least $282 million in Trump debt, may be up for sale. A firm called Related Companies bought $80 million in Ladder stock in February 2017. ",Donald Trump,Ladder Capital,Mother Jones,2-Dec-16,The Real Deal,28-Feb-17,,,active,,5-Jul-17
"Former president/member of Lamington Family Holdings LLC, in which Pres. Trump retains an ownersthip interest. ",Donald Trump,Lamington Family Holdings LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of Lamington Farm Club, LLC (Trump National Golf Club - Bedminster), in which Pres. Trump retains an ownership interest. ",Donald Trump,"Lamington Farm Club, LLC (Trump National Golf Club - Bedminster)",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member of the now-dormant or inactive Lawrence Towers Apartments LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Lawrence Towers Apartments LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of LFB Acquisition LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,LFB Acquisition LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/director/chairman of LFB Acquisition Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,LFB Acquisition Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/treasurer/secretary of Mar-A-Lago Club, Inc., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,"Mar-A-Lago Club, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of Mar-A-Lago Club, L.L.C., in which Pres. Trump retains an ownership interest. ",Donald Trump,"Mar-A-Lago Club, L.L.C.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Former trustee of Maryanne Trump GRAT Trust- F/B/O Elizabeth Trump Grau. The trust's current activity status and control structures are not reported. ,Donald Trump,Maryanne Trump GRAT Trust- F/B/O Elizabeth Trump Grau,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Merrill Lynch Credit Corporation holds two mortgages for Pres. Trump, both of which mature are scheduled to mature in 2019. ",Donald Trump,Merrill Lynch Credit Corporation,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former partner in the now-dormant or inactive Midland Associates, in which Pres. Trump retains an ownership interest. ",Donald Trump,Midland Associates,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former partner in Miss Universe L.P., LLLP (F/K/A Trump Pageants, L.P.), in which Pres. Trump retains an ownership interest. ",Donald Trump,"Miss Universe L.P., LLLP (F/K/A Trump Pageants, LP.)",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of Mobile Payroll Construction LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,Mobile Payroll Construction LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of Mobile Payroll Construction Manager Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Mobile Payroll Construction Manager Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
National Labor Relations Board,Donald Trump,National Labor Relations Board,National Labor Relations Board,21-Dec-16,,,,,active,,5-Jul-17
NBC reportedly has ordered episodes of “The New Apprentice.” Variety reports Trump will retain his Executive Producer title for the show.,Donald Trump,NBC,Variety,8-Dec-16,,,,,active,,5-Jul-17
"Former director of the now-dormant or inactive Nitto World Co., Limited, in which Pres. Trump retains an ownership interest. ",Donald Trump,"Nitto World Co., Limited",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/director of the now-dormant or inactive Ocean Development Member Inc., in which Pres. Trump retains an ownership interest. ",Donald Trump,Ocean Development Member Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member of Ocean Development Member Inc. According to Trump's 2016 financial disclosure, the company was dormant or inactive, but he held an ownership stake. Its current activity status and ownership structure were not articulated in his disclosure in 2017. ",Donald Trump,Ocean Development Member Inc.,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,active,,5-Jul-17
Pres. Trump retains an ownership interest in the now-dormant or inactive One Central Park West Associates. Any position he may have or have had with the company has not been reported. ,Donald Trump,One Central Park West Associates,Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
Pres. Trump retains an ownership interest in the now-dormant or inactive One Central Park West PT Associates. Any position he may have or have had with the company has not been reported. ,Donald Trump,One Central Park West PT Associates,Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
"Former president of OPO Hotel Manager LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,OPO Hotel Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of OPO Hotel Manager Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,OPO Hotel Manager Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Former president/member of Owo Developer LLC. The company is reportedly inactive. Trump retains an ownership stake through DJT Holdings LLC and The Donald J. Trump Revocable Trust. ,Donald Trump,OWO Developer LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of the now-dormant or inactive Panama Ocean Club Management LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Panama Ocean Club Management LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/chairman/director of the now-dormant or inactive Panama Ocean Club Management Member Corp., in which Pres. Trump retains an ownership interest. ",Donald Trump,Panama Ocean Club Management Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of Paramount RPV Holdings LLC, which was reportedly dissolved on Oct. 14, 2016. ",Donald Trump,Paramount RPV Holdings LLC,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former president/director/chairman of Paramount RPV Holdings Manager Corp., which was reportedly dissolved on Oct. 14, 2016.   ",Donald Trump,Paramount RPV Holdings Manager Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former president/director/secretary of Parc Consulting, Inc., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,"Parc Consulting, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former partner in Park Briar Associates, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Park Briar Associates,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of Pine Hill Development LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Pine Hill Development LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director and chairman/president of Pine Hill Development Managing Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Pine Hill Development Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of Plaza Consulting Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Plaza Consulting Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of the now-dormant or inactive Poker Venture LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Poker Venture LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/president/chairman of the now-dormant or inactive Poker Venture Managing Member Corp., in which Pres. Trump retains an ownership interest. ",Donald Trump,Poker Venture Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/president/secretary/treasurer of the now-dormant or inactive Reg-Tru Equities, Ltd.,in which Pres. Trump retains an ownership interest. ",Donald Trump,"Reg-Tru Equities, Ltd.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of Restaurant 40 LLC. The company reportedly was dissolved on Nov. 9, 2016.",Donald Trump,Restaurant 40 LLC,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former president/director/chairman/treasurer/secretary of Restaurant 40 Member Corp. The company reportedly was dissolved on Nov. 9, 2016.",Donald Trump,Restaurant 40 Member Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
Royal Bank America holds a mortgage for Pres. Trump. The mortgage is scheduled to mature in 2019. ,Donald Trump,Royal Bank America,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of RPV Development LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,RPV Development LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
News reports indicate that Russian investors provided a crucial source of capital in Trump-branded real estate ventures that may have otherwise foundered in Florida and Panama during the global economic downturn. ,Donald Trump,Russian real estate investors,Washington Post,4-Nov-16,,,,,active,,5-Jul-17
"Former member/president of the now-dormant or inactive Scotland Acquisitions LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Scotland Acquisitions LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member of Sentient Jets LLC (N/K/A Trump Jets LLC). The company reportedly was dissolved on Nov. 9, 2016. (See also Trump Jets LLC)",Donald Trump,Sentient Jets LLC (N/K/A Trump Jets LLC) ,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former president/director of Sentient Jets Member Corp., reportedly dissolved on Nov. 9, 2016.",Donald Trump,Sentient Jets Member Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former president of Seven Springs LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Seven Springs LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/vice-president of Shore Haven Apt#1, Inc., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,"Shore Haven Apt#1, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/vice-president of the now-dormant or inactive Shore Haven Management Corp. Pres. Trump reportedly resigned his position with the company the day before his inauguration in January 2017. The company was not listed on his 2017 financial disclosure, although it was reported as dormant/inactive on his 2016 disclosure. He appeared to retain an ownership interest at the time. ",Donald Trump,Shore Haven Management Corp.,Office of Government Ethics,18-May-16,CNN,23-Jan-17,Office of Government Ethics,18-May-16,active,,5-Jul-17
"Former member of the now-dormant or inactive Shore Haven Shopping Center LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,Shore Haven Shopping Center LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman of SLC Turnberry Limited (Trump Turnberry), in which Pres. Trump retains an ownership interest. ",Donald Trump,SLC Turnberry Limited (Trump Turnberry),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump holds a 4 percent limited partnership interest in the residential reasl estate firm Starrett City Associates, L.P. through several entities, including the The Donald J. Trump Revocable Trust. His stake is loosely valued between $5 million and $25 million. ",Donald Trump,"Starrett City Associates, L.P.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Pres. Trump retains an ownership interest in Storage 106 LLC. Any current or former positions he may have with the company have not been listed on his financial disclosures. ,Donald Trump,Storage 106 LLC,Office of Government Ethics,18-May-16,CNN,23-Jan-17,Office of Government Ethics,18-May-16,active,,5-Jul-17
"Former director/vice-president of the now-dormant or inactive Sussex Hall, Inc., in which Pres. Trump retains an ownership interest. ",Donald Trump,"Sussex Hall, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump retains an ownership interest in T Express LLC. Any current or former positions he may have with the company have not been reported on his financial disclosures. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,T Express LLC,Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
Pres. Trump retains an ownership interest in T Express Manager Member Corp. Any current or former positions he may have with the company have not been reported on his financial disclosures. The company reportedly has no independent value or income and is part of other entity structures. ,Donald Trump,T Express Manager Member Corp.,Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
"Former member/president of T International Realty LLC (dba Trump International Realty), in which Pres. Trump retains an ownership interest. ",Donald Trump,T International Realty LLC (dba Trump International Realty),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of the brokerage firm T International Realty (dba Trump International Realty), in which Pres. Trump retains an ownership interest. ",Donald Trump,T International Realty LLC (dba Trump International Realty),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/director of Tag Air, Inc., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and provides back office support functions to other entitites. ",Donald Trump,"Tag Air, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
2 Indonesian resort projects with billionaire Hary Tanoesoedibjo as Trump’s local partner. Eric Lipton reported a potential conflict: Tanoesoedibjo “ran for vice president of Indonesia in 2014 and is organizing a political party for another possible run at national office in 2019.”,Donald Trump,"Tanoesoedibjo, Hary",New York Times,31-Dec-16,MNC Newsroom,19-Aug-15,,,active,,5-Jul-17
"Former president/member of TC Marks Buenos Aires LLC. The company, dissolved on Jan. 26, 2017, reportedly had no independent value or income, and existed to hold license deals that were prospective, inactive, or otherwise did not currently have valuable assets or create income.",Donald Trump,TC Marks Buenos Aires LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/member of THC Baku Hotel Manager Services LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,THC Baku Hotel Manager Services LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of THC Baku Hotel Manager Services Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,THC Baku Hotel Manager Services Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/member of THC Baku Services LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,THC Baku Services LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of THC Baku Services Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,THC Baku Services Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member of THC Barra Hotelaria LTDA, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,THC Barra Hotelaria LTDA,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of THC Central Reservations LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,THC Central Reservations LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former chairman/director/president of THC Central Reservations Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,THC Central Reservations Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of THC China Development LLC (F/K/A Trump China Development LLC), of which Pres. Trump retains an ownership interest. The company is owned by Trump International Hotels Management LLC, which Trump owned as of his 2016 financial disclosure. The parent company's current activity status and ownership structure were not articulated in his 2017 disclosure. ",Donald Trump,THC China Development LLC (F/K/A Trump China Development LLC),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump reportedly resigned any positions with THC China Development Management Corp (F/K/A Trump China Development Management Corp) the day before his inauguration in January 2017. According to his 2016 financial disclosure, the company, which he alone owned, was dormant or inactive. Its current activity status and ownership structure were not articulated in his 2017 financial disclosure. ",Donald Trump,THC China Development Management Corp (F/K/A Trump China Development Management Corp) ,Office of Government Ethics,14-Jun-17,CNN,23-Jan-17,CNN,23-Jan-17,active,,5-Jul-17
"Former member/president of the now-dormant or inactive THC China Technical Services LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,THC China Technical Services LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former chairman/director/president of the now-dormant or inactive THC China Technical Services Manager Corp., of which Pres. Trump retains an ownership interest. ",Donald Trump,THC China Technical Services Manager Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of THC DC Restaurant Hospitality LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,THC DC Restaurant Hospitality LLC,Office of Government Ethics,14-Jun-17,CNN,23-Jan-17,,,active,,5-Jul-17
"Former member/president of the now-dormant or inactive THC Development Brazil LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,THC Development Brazil LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former chairman/director/president of the now-dormant or inactive THC Development Brazil Managing Member Corp., of which Pres. Trump retains an ownership interest. ",Donald Trump,THC Development Brazil Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of THC Dubai II Hotel Manager LLC. According to Trump's 2016 financial disclosure, the company, which he alone owned, was dormant or inactive. Its current activity status and ownership structure were not articulated in his 2017 financial disclosure. ",Donald Trump,THC Dubai II Hotel Manager LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
"Former chairman/director/president of THC Dubai II Hotel Manager LLC. According to his 2016 financial disclosure, the company, which he alone owned, was dormant or inactive. Its current activity status and ownership structure were not articulated in his 2017 financial disclosure. ",Donald Trump,THC Dubai II Hotel Manager Member Corp. ,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
"Former member/president of the now-dormant THC Hotel Development LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,THC Hotel Development LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of THC IMEA Development LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,THC IMEA Development LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of THC Jeddah Hotel Advisor LLC. According to Trump's 2016 financial disclosure, the company, which he alone owned, had no independent value or income and existed to hold license deals that were prospective, inactive, or otherwise did not currently have valuable assets or create income. The company's current activity status and ownership structure were not articulated in his 2017 disclosure. ",Donald Trump,THC Jeddah Hotel Advisor LLC ,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
"Former director/chairman/president of THC Jeddah Hotel Advisor Member Corp. According to Trump's 2016 financial disclosure, the company, which he alone owned, had no independent value or income and existed to hold license deals that were prospective, inactive, or otherwise did not currently have valuable assets or create income. The company's current activity status and ownership structure were not articulated in his 2017 disclosure. ",Donald Trump,THC Jeddah Hotel Advisor Member Corp. ,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
"Former member/president of THC Jeddah Hotel Manager LLC. The company was reportedly dissolved Nov. 15, 2016. Trump's financial disclsoure indicates it held no independent value or income, and existed to hold license deals that were prospective, inactive, or otherwise did not currently have valuable assets or create income. It was owned 99 percent by Donald Trump directly, and 1 percent by THC Jeddah Hotel Manager Member Corp., of which Donald Trump was the sole owner. ",Donald Trump,THC Jeddah Hotel Manager LLC ,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former director/chairman/president of THC Jeddah Hotel Manager Member Corp. The company was reportedly dissolved on Nov. 15, 2016. It was owned solely by Donald Trump. ",Donald Trump,THC Jeddah Hotel Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former member/president of THC Miami Restaurant Hospitality LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,THC Miami Restaurant Hospitality LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
